sale_id,date,customer_id,product_id,quantity,unit_price,total_price
1,2025-10-01,3,127,1,130.17,130.17
684,2025-04-15,2838,127,2,130.17,260.34
697,2025-10-22,4176,127,2,130.17,260.34
728,2025-07-24,930,127,4,130.17,520.68
1480,2025-01-07,4523,127,1,130.17,130.17
1795,2025-02-02,4254,127,4,130.17,520.68
1882,2024-11-30,82,127,2,130.17,260.34
3136,2025-05-27,4108,127,3,130.17,390.51
3380,2025-03-29,3445,127,4,130.17,520.68
3532,2025-09-07,90,127,2,130.17,260.34
3781,2025-10-03,290,127,1,130.17,130.17
3838,2025-01-17,815,127,1,130.17,130.17
4550,2025-02-08,3098,127,2,130.17,260.34
4641,2024-11-18,2631,127,1,130.17,130.17
5250,2025-07-11,2349,127,1,130.17,130.17
5257,2025-02-03,1618,127,2,130.17,260.34
5466,2025-07-30,2377,127,4,130.17,520.68
6024,2024-11-24,2217,127,1,130.17,130.17
7107,2025-10-27,1687,127,3,130.17,390.51
8036,2025-02-17,2224,127,1,130.17,130.17
9710,2025-08-12,2444,127,1,130.17,130.17
9813,2025-02-28,4172,127,2,130.17,260.34
10021,2025-04-26,2047,127,1,130.17,130.17
10041,2024-12-16,2372,127,1,130.17,130.17
10478,2025-05-28,2161,127,1,130.17,130.17
10749,2025-05-03,1166,127,2,130.17,260.34
11722,2024-12-21,3385,127,2,130.17,260.34
12165,2024-11-12,4807,127,1,130.17,130.17
12226,2024-12-20,1005,127,1,130.17,130.17
13119,2025-07-31,2831,127,2,130.17,260.34
13616,2024-12-17,3366,127,1,130.17,130.17
15049,2025-07-19,2631,127,3,130.17,390.51
15218,2025-09-27,3827,127,1,130.17,130.17
16057,2025-09-12,2327,127,3,130.17,390.51
16983,2024-11-26,1056,127,4,130.17,520.68
17662,2024-11-05,3155,127,3,130.17,390.51
17776,2025-02-16,3811,127,4,130.17,520.68
18856,2025-07-04,3548,127,1,130.17,130.17
19300,2024-12-21,4473,127,2,130.17,260.34
19562,2025-05-30,1256,127,1,130.17,130.17
2,2025-05-14,1260,468,3,69.85,209.54999999999998
1682,2024-11-03,2697,468,3,69.85,209.54999999999998
2832,2025-08-11,4375,468,4,69.85,279.4
3304,2025-08-22,1623,468,4,69.85,279.4
3516,2025-05-31,217,468,4,69.85,279.4
3918,2025-09-09,1508,468,3,69.85,209.54999999999998
4107,2025-03-20,2694,468,3,69.85,209.54999999999998
4198,2024-11-12,1939,468,3,69.85,209.54999999999998
4723,2025-06-17,576,468,1,69.85,69.85
5328,2025-06-10,2382,468,2,69.85,139.7
6301,2025-09-09,3759,468,2,69.85,139.7
6704,2025-07-09,3717,468,3,69.85,209.54999999999998
6846,2025-05-14,2089,468,2,69.85,139.7
6981,2025-03-01,3862,468,1,69.85,69.85
7648,2025-07-20,4994,468,2,69.85,139.7
8995,2025-08-04,3341,468,1,69.85,69.85
9281,2025-07-15,2157,468,3,69.85,209.54999999999998
9619,2025-03-25,3134,468,2,69.85,139.7
9737,2025-01-11,239,468,3,69.85,209.54999999999998
10059,2025-04-12,3160,468,1,69.85,69.85
10117,2025-08-18,1750,468,3,69.85,209.54999999999998
10204,2025-07-17,4852,468,3,69.85,209.54999999999998
10272,2025-10-28,38,468,2,69.85,139.7
11193,2024-12-07,3464,468,1,69.85,69.85
11286,2025-03-18,4955,468,3,69.85,209.54999999999998
11359,2024-12-01,3242,468,2,69.85,139.7
11458,2024-10-29,2615,468,3,69.85,209.54999999999998
11824,2025-08-29,1574,468,3,69.85,209.54999999999998
11895,2025-09-26,3535,468,4,69.85,279.4
11924,2025-04-30,1746,468,2,69.85,139.7
12123,2025-04-14,2191,468,4,69.85,279.4
13343,2024-11-03,2701,468,4,69.85,279.4
13532,2024-12-03,4721,468,3,69.85,209.54999999999998
14791,2025-03-07,457,468,2,69.85,139.7
15676,2025-02-23,2993,468,2,69.85,139.7
16194,2025-05-08,637,468,1,69.85,69.85
17884,2025-07-25,4615,468,4,69.85,279.4
18059,2025-07-30,4400,468,4,69.85,279.4
18923,2025-09-09,4282,468,2,69.85,139.7
19004,2025-09-12,1359,468,4,69.85,279.4
19375,2025-07-25,4113,468,2,69.85,139.7
19397,2025-09-25,1573,468,1,69.85,69.85
19638,2025-02-17,898,468,3,69.85,209.54999999999998
3,2025-01-19,4950,280,1,12.47,12.47
42,2025-02-07,2626,280,3,12.47,37.410000000000004
164,2025-06-07,402,280,1,12.47,12.47
383,2025-06-06,4299,280,4,12.47,49.88
1258,2025-01-17,439,280,3,12.47,37.410000000000004
2267,2025-09-17,4685,280,2,12.47,24.94
3278,2025-05-17,62,280,1,12.47,12.47
3345,2025-09-16,4890,280,1,12.47,12.47
4597,2025-07-31,757,280,1,12.47,12.47
4711,2025-06-25,1433,280,1,12.47,12.47
5296,2025-05-01,39,280,2,12.47,24.94
5585,2025-02-16,285,280,3,12.47,37.410000000000004
5821,2025-10-08,2658,280,3,12.47,37.410000000000004
5959,2024-11-05,3184,280,3,12.47,37.410000000000004
6590,2024-12-15,2541,280,1,12.47,12.47
8385,2025-07-13,4898,280,3,12.47,37.410000000000004
8728,2025-06-22,3949,280,4,12.47,49.88
9768,2025-08-03,3653,280,1,12.47,12.47
10351,2025-03-16,4426,280,4,12.47,49.88
10521,2025-10-11,3535,280,2,12.47,24.94
11093,2025-03-03,4898,280,1,12.47,12.47
11232,2025-07-10,4488,280,3,12.47,37.410000000000004
11358,2025-05-08,1750,280,2,12.47,24.94
12445,2025-03-31,4483,280,3,12.47,37.410000000000004
12796,2025-05-31,3502,280,4,12.47,49.88
14087,2025-06-20,3320,280,3,12.47,37.410000000000004
14109,2025-09-30,2753,280,2,12.47,24.94
14592,2025-03-27,459,280,1,12.47,12.47
14599,2024-12-15,2702,280,4,12.47,49.88
14651,2025-08-01,4631,280,3,12.47,37.410000000000004
15098,2025-04-18,2089,280,4,12.47,49.88
15129,2025-09-01,3002,280,4,12.47,49.88
15352,2025-06-15,3910,280,1,12.47,12.47
15659,2025-01-08,898,280,4,12.47,49.88
16143,2025-09-08,2252,280,3,12.47,37.410000000000004
17315,2025-01-23,1451,280,4,12.47,49.88
17885,2024-12-26,3294,280,1,12.47,12.47
19106,2025-08-25,1748,280,2,12.47,24.94
19505,2025-07-05,431,280,2,12.47,24.94
4,2024-12-21,4324,367,4,50.21,200.84
78,2024-12-06,4702,367,3,50.21,150.63
1472,2025-06-28,1692,367,2,50.21,100.42
1631,2025-05-26,2912,367,2,50.21,100.42
2551,2025-03-16,4365,367,1,50.21,50.21
2583,2024-12-02,790,367,1,50.21,50.21
2612,2024-12-02,4802,367,3,50.21,150.63
2901,2025-05-16,1664,367,3,50.21,150.63
3828,2025-08-19,3836,367,2,50.21,100.42
4227,2025-06-08,15,367,3,50.21,150.63
4342,2025-04-23,69,367,4,50.21,200.84
4512,2025-05-06,2624,367,2,50.21,100.42
4703,2025-02-23,4368,367,2,50.21,100.42
4771,2025-05-26,942,367,4,50.21,200.84
5114,2025-09-22,21,367,3,50.21,150.63
5145,2025-05-26,2070,367,1,50.21,50.21
5294,2025-03-28,1456,367,1,50.21,50.21
5544,2025-06-13,3204,367,3,50.21,150.63
6253,2025-09-17,1459,367,1,50.21,50.21
6345,2025-03-09,1557,367,2,50.21,100.42
7531,2025-01-27,2897,367,4,50.21,200.84
7950,2024-12-28,1767,367,4,50.21,200.84
7968,2024-12-17,2671,367,2,50.21,100.42
8361,2025-08-15,694,367,2,50.21,100.42
8535,2024-11-12,838,367,2,50.21,100.42
8653,2024-12-23,4947,367,3,50.21,150.63
8678,2025-06-04,4517,367,3,50.21,150.63
9048,2025-08-18,4907,367,1,50.21,50.21
9952,2025-08-15,1597,367,2,50.21,100.42
10879,2025-08-28,3550,367,1,50.21,50.21
11554,2024-12-12,3546,367,1,50.21,50.21
11556,2025-01-02,781,367,4,50.21,200.84
12847,2025-02-13,3920,367,4,50.21,200.84
12906,2025-10-28,3535,367,1,50.21,50.21
13421,2025-09-26,3826,367,1,50.21,50.21
13715,2025-08-08,2483,367,1,50.21,50.21
13754,2025-07-23,908,367,2,50.21,100.42
13821,2025-08-31,1041,367,1,50.21,50.21
13891,2025-07-14,2446,367,2,50.21,100.42
14086,2025-04-25,3792,367,3,50.21,150.63
14362,2025-05-11,3495,367,3,50.21,150.63
15215,2025-06-04,497,367,3,50.21,150.63
15443,2025-02-13,4460,367,3,50.21,150.63
15472,2025-05-20,1,367,2,50.21,100.42
16095,2025-08-20,2424,367,4,50.21,200.84
16914,2025-08-24,4399,367,2,50.21,100.42
17350,2024-11-26,1896,367,2,50.21,100.42
17371,2025-07-26,4098,367,4,50.21,200.84
17384,2025-10-24,2980,367,2,50.21,100.42
17488,2025-06-19,8,367,3,50.21,150.63
18474,2025-04-30,2693,367,1,50.21,50.21
18953,2025-04-03,4484,367,4,50.21,200.84
19042,2024-11-02,546,367,1,50.21,50.21
19695,2025-01-21,4180,367,2,50.21,100.42
19753,2025-01-04,4729,367,4,50.21,200.84
19967,2025-08-24,3376,367,3,50.21,150.63
5,2025-08-16,4595,21,4,92.14,368.56
911,2025-02-14,3684,21,1,92.14,92.14
993,2025-07-30,3795,21,3,92.14,276.42
1078,2024-11-21,2732,21,3,92.14,276.42
1226,2025-07-23,4331,21,2,92.14,184.28
2263,2025-08-10,3956,21,4,92.14,368.56
2336,2025-10-18,1904,21,2,92.14,184.28
2707,2025-06-16,533,21,4,92.14,368.56
3262,2025-09-09,3148,21,3,92.14,276.42
3706,2025-04-24,1866,21,3,92.14,276.42
4592,2025-03-25,3419,21,2,92.14,184.28
5063,2025-07-25,1694,21,4,92.14,368.56
5972,2025-10-09,2666,21,1,92.14,92.14
6433,2024-11-30,4924,21,1,92.14,92.14
7106,2025-05-08,3860,21,4,92.14,368.56
7226,2024-11-27,3371,21,4,92.14,368.56
8185,2025-10-16,3087,21,1,92.14,92.14
8216,2024-11-28,1230,21,2,92.14,184.28
8369,2025-04-09,3045,21,2,92.14,184.28
9241,2025-06-02,3237,21,1,92.14,92.14
9342,2025-06-27,560,21,4,92.14,368.56
9999,2025-01-10,3767,21,3,92.14,276.42
10432,2025-10-08,1290,21,1,92.14,92.14
10554,2024-10-30,3291,21,3,92.14,276.42
10635,2025-07-22,425,21,2,92.14,184.28
11220,2025-10-24,1649,21,2,92.14,184.28
11502,2025-05-03,1874,21,3,92.14,276.42
12197,2025-08-10,1493,21,4,92.14,368.56
12495,2025-06-03,2268,21,1,92.14,92.14
12604,2024-12-14,3437,21,4,92.14,368.56
13185,2025-01-20,2351,21,3,92.14,276.42
13360,2025-09-24,1905,21,3,92.14,276.42
13655,2025-02-16,2296,21,4,92.14,368.56
13832,2025-06-21,2520,21,2,92.14,184.28
14125,2024-12-10,3085,21,3,92.14,276.42
15018,2025-03-07,1358,21,1,92.14,92.14
16242,2025-04-05,2618,21,2,92.14,184.28
16250,2025-09-17,265,21,2,92.14,184.28
16300,2025-01-04,2310,21,1,92.14,92.14
17036,2025-05-09,4354,21,4,92.14,368.56
18253,2025-09-09,3783,21,3,92.14,276.42
18667,2025-03-31,3717,21,4,92.14,368.56
19508,2025-05-15,3118,21,2,92.14,184.28
